MSI_DO_YOU_AGREE	동의 하십니까?
MSI_EXPLAIN_EXPEL_PARTY_MEMBER	/제명 [캐릭터이름] or /expel [캐릭터이름] : 해당캐릭터를 파티에서 제명시킴
MSI_EXPLAIN_TIP4	[Alt] + [End] : 플레이어 hp/sp 게이지 On Off
MSI_EXPLAIN_TIP5	[Alt] + [Home] : 지면 커서 표시 On Off
MSI_EXPLAIN_TIP6	[Insert] : 앉기 서기
MSI_YOU_RECEIVE_MVP_ITEM	MVP가 되셨습니다!! MVP 아이템은 
MSI_YOU_RECEIVE_MVP_ITEM2	 !!
MSI_YOU_RECEIVE_MVP_EXP	MVP가 되셨습니다!! 특별경험치 
MSI_YOU_RECEIVE_MVP_EXP2	 획득!!
MSI_YOU_THROW_MVPITEM	MVP가 되셨습니다만 무게초과로 MVP 아이템을 가질 수 없었습니다!!
MSI_NOT_EXIST_CHARACTER	 없는 캐릭터 이름 입니다.
MSI_NO_RECEIVE_MODE	 수신 거부 상태입니다.
MSI_NO_RECEIVE_MODE_FOR_ALL	 모든 캐릭터에 대해 수신 거부 상태 입니다.
MSI_SUCCESS_DISCONNECT_CHARACTER	캐릭터 접속끊기 성공.
MSI_FAIL_DISCONNECT_CHARACTER	캐릭터 접속끊기 실패.
MSI_GET_ITEM	%s %d 개 획득
MSI_EXPLAIN_TIP7	[Alt] + [=] : 알파벳 간격이 넓어졌을때 되돌리기.
MSI_EXPLAIN_TIP8	[F10] : 채팅창 크기조정 [Alt] + [F10] : 채팅창 On Off
MSI_EXPLAIN_TIP9	귓속말 하는법 : 채팅창 왼쪽 입력란에 캐릭터이름을 입력하고 오른쪽 입력란에 말을 입력하면 됩니다. TAB키로 두입력란 사이로 커서를 이동할 수 있습니다.
MSI_EXPLAIN_TIP10	/! /? /기쁨 /하트 /땀 /아하 /짜증 /화 /돈 /... /가위 /바위 /보 : Alt + (1~9) Ctrl + (-=\\) 에 대응되는 명령어 입니다.
MSI_EXPLAIN_TIP11	파티원에게 말하는법 : 말의 제일앞에 '%'를 붙이면 파티원에게 말이 갑니다. (예: \"%안녕\")
MSI_NOT_ENOUGH_SKILLLEVE1	스킬레벨이 부족합니다. 교환 불능.
MSI_NOT_ENOUGH_SKILLLEVE2	스킬레벨이 부족합니다. 이모션 불능.
MSI_NOT_ENOUGH_SKILLLEVE3	스킬레벨이 부족합니다. 앉기 불능.
MSI_NOT_ENOUGH_SKILLLEVE4	스킬레벨이 부족합니다. 채팅방만들기 불능.
MSI_NOT_ENOUGH_SKILLLEVE5	스킬레벨이 부족합니다. 파티만들기 불능
MSI_NOT_ENOUGH_SKILLLEVE6	스킬레벨이 부족합니다. 외치기 불능
MSI_NOT_ENOUGH_SKILLLEVE7	스킬레벨이 부족합니다. pk 불능
MSI_ITEMS_FOR_BUY	사고자하는 품목
MSI_ITEM_STORE	아이템 상점
MSI_ITEMS_FOR_SELL	팔고자하는 품목
MSI_ITEMS_THAT_IS_STORED	보관아이템
MSI_ITEM_IS_EQUIPED	 장비가 장착 되었습니다.
MSI_ITEM_IS_REMOVED	 장비가 해제 되었습니다.
MSI_ADD_TO_WHISPER_CHAR_LIST	귓말리스트에 이름넣기
MSI_EXPLAIN_TIP12	스크린샷 찍는법 : [Print Screen]키나 [Scroll Lock]키를 누르면 됩니다.
MSI_TIPOFTHEDAY	오늘의 팁
MSI_DIDYOUKNOW	^3850a0알고 계셨습니까... ^000000  //^709fed
MSI_SHOWTIPSATSTARTUP	시작할때 열기
MSI_EXPLAIN_OPENTIP	/tip : 오늘의팁 열기
MSI_NUMPEOPLE	현재 접속자 %d명
MSI_USERGETINTHEROOM	(%s)님이 입장 하였습니다.
MSI_USERGETOUTOFTHEROOM	(%s)님이 퇴장 하였습니다.
MSI_USERGETOUTOFTHEROOMBYFORCE	(%s)님이 강제 퇴장 되었습니다.
MSI_EA	 %d 개
MSI_EA2	%s : %d 개
MSI_EA3	%s %s : %d 개
MSI_ITEMSYOUCANSELL	팔 수 있는 품목
MSI_SHOPITEMS	상점에서 파는 품목
MSI_NOWHERE	알 수 없는곳
MSI_CLIENTTYPEMISMATCH	서버와 언어가 맞지 않습니다.
MSI_CLOSEEQUIPWND	아이템을 버릴려면 장비창을 닫으세요.
MSI_ENGLISHONLY	영어만 됩니다.
MSI_NOTSUPPORTEDYET	지금은 지원되지 않습니다.
MSI_NOWHISPERLIST	귓말 리스트가 없습니다.
MSI_WHISPERIGNORESUCCESS	 에게 귓말거부상태로됨
MSI_WHISPERIGNOREFAILED1	 에게 귓말거부 요청실패함
MSI_WHISPERIGNOREFAILED2	 에게 귓말거부 요청실패함 (인원초과)
MSI_WHISPERNOIGNORESUCCESS	 에게 귓말가능상태로됨
MSI_WHISPERNOIGNOREFAILED1	 에게 귓말가능 요청실패함
MSI_WHISPERNOIGNOREFAILED2	 에게 귓말가능 요청실패함 (인원초과)
MSI_NO_SPACE_IN_NAME	이름의 처음과 마지막에는 공백문자를 사용할 수 없습니다.
MSI_ROOM_PRIVATE2	비공개
MSI_ROOM_PUBLIC2	공개
MSI_USESKILL_FAIL_SP_INSUFFICIENT	SP가 부족합니다.
MSI_USESKILL_FAIL_HP_INSUFFICIENT	HP가 부족합니다.
MSI_NOT_ENOUGH_SKILLLEVE8	스킬사용 실패.
MSI_FAIL_STEAL	훔치기 실패.
MSI_EXCHANGE	교환창
MSI_FAIL_POISON	독걸기 실패.
MSI_ID_MISMATCH	이 아이디로는 이 서버에 접속할 수 없습니다.
MSI_SPEEDUP	스피드가 향상되었습니다.
MSI_SPEEDDOWN	스피드가 감소되었습니다.
MSI_EXPLAIN_TIP13	/기억 : 워프할 장소 기억(워프 스킬이 있는경우)
MSI_RANDOM_POS	임의의 위치
MSI_SELECTWHERETOWARP	워프 할 위치를 선택하세요.
MSI_NOTENOUGHSKILLLEVEL	스킬레벨이 부족합니다.
MSI_NO_STORED_PLACE_TO_WARP	저장된 워프할 장소가 없습니다.
MSI_NOWARPSKILL	워프 관련 스킬이 없습니다.
MSI_WARPPOINTSTORED	워프 장소로 저장됨.
MSI_CANCEL	취소
MSI_SKILLINTERVAL	스킬 사용후 시간이 충분히 지나지 않았습니다.
MSI_CANT_GET_ITEM_BECAUSE_COUNT	한번에 가질 수 있는 아이템 종류수를 초과하여 아이템을 가질 수 없습니다.
MSI_INSUFFICIENT_OVER_COUNT	아이템 최대 종류수를 초과 하였습니다.
MSI_MERCHANTITEM	수레아이템
MSI_CARTOFF	수레 벗기
MSI_MERCHANTSHOPMAKER	노점 개설
MSI_ENTER_SHOP_TITLE	노점이름을 입력하세요.
MSI_ITEM_MY_STORE	나의 노점
MSI_ITEM_MERCHANT_STORE	상인 아이템 상점
MSI_ITEMS_FOR_BUY_FROM_MERCHANT	상인에게 사고자하는 품목
MSI_FAIL_BUY_ITEM_FROM_MERCHANT	%s 구입 실패 %s
MSI_INSUFFICIENT_STOCK	재고 부족.
MSI_ITEM_IS_SOLD	%s %d 개 팔림.
MSI_MERCHANTMIRRORITEM	노점에서 팔 수 있는 아이템
MSI_SKILL_FAIL_MONEY	제니가 부족해서 스킬을 사용 할 수 없습니다.
MSI_SELECTTARGET	사용할 대상을 선택하세요
MSI_EXPLAIN_TIP14	/pk on : pk On /pk off : pk Off
MSI_STREETSHOP	노점
MSI_OPENCARTWINDOW	수레 아이템 [Alt+W]
MSI_BASICINFOWND	기본정보
MSI_USESKILL_FAIL_NOT_SUITABLE_WEAPON	현재 무기로는 스킬을 사용할 수 없습니다.
MSI_FAIL_BUY_ITEM_FROM_MERCHANT_NO_STOCK	%s 사기 실패 재고 부족 현재 재고 %d 개.
MSI_SPEEDHACK	서버와 동기화가 틀려 연결이 끊어졌습니다.
MSI_ERR_ATTACK_ARROW	화살을 장착하세요
MSI_ERR_ATTACK_WEIGHT	중량과다로 공격이나 스킬을 사용할 수 없습니다.
MSI_ERR_SKILL_WEIGHT	중량과다로 스킬을 사용할 수 없습니다.
MSI_MSG_ARROW_EQUIPMENT_SUCCESS	화살이 장착되었습니다.
MSI_NEED_REDJAMSTONE	레드젬스톤이 필요합니다.
MSI_NEED_BLUEJAMSTONE	블루젬스톤이 필요합니다.
MSI_DESC_STR	힘 파라메터
MSI_DESC_AGI	민첩성 파라메터
MSI_DESC_VIT	체력 파라메터
MSI_DESC_INT	지력 파라메터
MSI_DESC_DEX	손재주 파라메터
MSI_DESC_LUK	운 파라메터
MSI_DESC_ATK	공격력
MSI_DESC_DEF	방어력
MSI_DESC_HIT	명중률
MSI_DESC_CRI	필살공격률
MSI_DESC_GUILD	소속길드
MSI_DESC_POINT	각 파라메터 레벨업에 사용되는 포인트
MSI_DESC_MATK	마법공격력
MSI_DESC_MDEF	마법방어력
MSI_DESC_FLEE	회피율
MSI_DESC_ASPD	공격스피드
MSI_PC_OVERFLOW	지역당 수용인원 초과로 접속할 수 없습니다.
MSI_OPTIONWND	옵션
MSI_ID_EMAIL_CONFIRM_NEEDED	E-MAIL 인증이 되지않았거나 블럭된 계정입니다.
MSI_INCORRECT_LOGIN_PASSWORD	비밀번호가 틀립니다.
MSI_SELECT_HAIR_STYLE	머리모양 선택
MSI_ATK	공격력
MSI_DEF	방어력
MSI_ATTACK_SNAP_ON	공격스냅 On
MSI_ATTACK_SNAP_OFF	공격스냅 Off
MSI_SKILL_SNAP_ON	스킬스냅 On
MSI_SKILL_SNAP_OFF	스킬스냅 Off
MSI_EXPLAIN_SNAP	/스냅 or /snap: 몬스터 공격시 스냅 On Off  /스킬스냅 or /skillsnap: 스킬로 몬스터 공격시 스냅 On Off  /아이템스냅 or /itemsnap: 아이템 주울때 스냅 On Off
MSI_ITEM_SNAP_ON	아이템스냅 On
MSI_ITEM_SNAP_OFF	아이템스냅 Off
MSI_SNAP	스냅
MSI_CANT_GET_ITEM_OVERCOUNT_ONEITEM	한가지 아이템을 3만개 이상 가질수 없습니다.
MSI_CANT_DELETE_CHARACTER_OVER_30_LEVEL	레벨 30이상의 캐릭터는 삭제할 수 없습니다. 삭제를 원하시면 관계자에게 문의 하세요.
MSI_FAIL_BUY_ITEM_ITEM_EXCHANGING	아이템 교환중에는 아이템을 사고 팔 수 없습니다.
MSI_STALL_NAME	상점명
MSI_SKILLLIST	스킬목록
MSI_SKILLPOINT	스킬포인트 : %d
MSI_USESKILL_FAIL	스킬사용 실패
MSI_PASSIVE	패시브
MSI_EXPDIV1	각자 취득
MSI_EXPDIV2	균등하게 분배
MSI_ITEMCOLLECT1	각자 취득
MSI_ITEMCOLLECT2	파티 전체 공유
MSI_PARTYSETTING	파티 설정
MSI_HOWEXPDIV	경험치 분배방식
MSI_HOWITEMCOLLECT	아이템 수집방식
MSI_ONLY_PARTYMASTER	파티 리더만 설정할 수 있습니다.
MSI_NOQUESTION_ITEMCOUNT	아이템 갯수 안물어보기
MSI_CHARARATER_DELETE_COUNT	^ff0000%d^000000 초 후에 캐릭터가 지워집니다. 취소 하려면 취소 버튼을 누르세요.
MSI_MAXEXCHANGE_IS_10_KIND	교환할 수 있는 최대 아이템 갯수는 10가지 입니다.
MSI_LIMIT_AGE	이서버를 이용할 수 없는 나이입니다.
MSI_ENTER_EMAIL	이메일 주소를 입력하세요.
MSI_ENTER_EMAIL_TOOLTIP	이메일 주소 입력하기
MSI_CANNOT_DELETE_CHARACTER_EMAIL	이메일 주소가 틀려서 캐릭터가 삭제 되지 않았습니다.
MSI_ENTER_PEOPLE_REG_NUMBER	계정 비밀번호를 입력하세요.
MSI_CANNOT_DELETE_CHARACTER_PEOPLE_REG_NUMBER	비밀번호가 틀려서 캐릭터가 삭제 되지 않았습니다.
MSI_CANT_SELL_OVER_15	한번에 15가지 이상의 아이템을 팔 수 없습니다.
MSI_UNDER_AGE	나이제한 때문에 이계정으로 이서버에 접속할 수 없습니다.
MSI_NO_RECOVER_OVERWEIGHT	무게가 50 퍼센트 이상일때는 HP SP가 자연적으로 회복이 되지 않습니다.
MSI_NO_ATTACK_OVERWEIGHT	무게가 90 퍼센트 이상일때는 공격과 스킬을 사용할 수 없습니다.
MSI_NO_RECOVER_OVERWEIGHT_RELEASED	HP SP가 자연적으로 회복이 가능한 상태가 되었습니다.
MSI_NO_ATTACK_OVERWEIGHT_RELEASED	공격과 스킬이 가능한 상태가 되었습니다.
MSI_INVALID_VERSION	서버 점검중입니다.
MSI_ITEM_IS_SOLD_OUT	아이템이 모두 팔렸습니다.
MSI_WRITE_CHAT_TO_FILE	채팅내용 파일로 저장하기
MSI_EXPLAIN_SAVE_CHAT	/갈무리 or /savechat : 채팅 내용 파일로 저장하기.
MSI_MAKEACCOUNT	계정 만들기
MSI_REQ_EX_LIST	수신거부하기
MSI_REQ_IN	수신거부해제하기
MSI_MISS_EFFECT_ON	미스표시 On
MSI_MISS_EFFECT_OFF	미스표시 Off
MSI_FIXED_CAMERA_ON	카메라고정 On
MSI_FIXED_CAMERA_OFF	카메라고정 Off
MSI_EXPLAIN_CAMERA_MISS	/camera : 플레이어에게 카메라고정 On Off /miss : 미스이펙트 On Off
MSI_SEE_INFORMATION_OF_SKILL	스킬정보보기
MSI_CHANGE_SKILL_NAME	스킬이름바꾸기
MSI_SPRITE_RESOLUTION	스프라이트 해상도
MSI_TEXTURE_RESOLUTION	텍스쳐 해상도
MSI_DETAILLEVELWND	디테일 조정
MSI_GET_ZENY	%s Zeny 획득
MSI_GUILDNAME	길드명
MSI_GUILDLEVEL	길드레벨
MSI_GUILD_MASTER_NAME	마스터이름
MSI_GUILD_NUM_MEMBER	조합원수
MSI_GUILD_AVG_MEMBER_LEVEL	조합원 평균레벨
MSI_GUILD_MANAGE_LAND	관리영지
MSI_GUILD_FAIR	성향
MSI_GUILD_EXP	경험치
MSI_GUILD_EMBLEM	길드엠블렘
MSI_GUILD_POINT	길드상납포인트
MSI_ALLY_GUILD	동맹길드
MSI_HOSTILITY_GUILD	적대길드
MSI_GUILDINFOMANAGE	길드정보
MSI_GUILDMEMBERMANAGE	조합원정보
MSI_GUILDPOSITIONMANAGE	직위설정
MSI_GUILDSKILL	길드스킬
MSI_GUILDBANISHEDMEMBER	추방자 리스트
MSI_GUILDNOTICE	공지사항
MSI_GUILDTOTALINFO	전체길드 리스트
MSI_WHISPERLISTWND	귓말 리스트
MSI_OPENWHISPERLISTWND	귓말창 열기
MSI_EXPLAIN_WHISPER_LIST_WND	귓말 리스트 창 여는법 : [Alt] + [H] 를 누르면 귓말 리스트 창이 열립니다.
MSI_AUTOOPENWHISPERLISTWND	자동으로 귓말창 열기
MSI_DELETE	지우기
MSI_DONTOPEN	다음부터 열리지 않음
MSI_LAST_LOGIN_TIME	마지막으로 접속한 시간
MSI_LAST_LOGIN_IP	마지막으로 접속한 IP
MSI_FRIEND_SETTING	친구 설정
MSI_DO_YOU_REALLY_WANT_DELETE	정말 지우시겠습니까?
MSI_DO_YOU_REALLY_WANT_LEAVE	정말 탈퇴하시겠습니까?
MSI_ADD_TO_FRIEND_CHAR_LIST	친구로 등록하기
MSI_AUTOOPENWHISPERLISTWND_FRIEND	친구일때 자동으로 1:1창 열기
MSI_OPEN_1ON1_WINDOW	1:1창 열기
MSI_AUTOOPEN_1ON1_WINDOW	친구가 아닐때 자동으로 1:1창 열기
MSI_WHISPER_OPEN_SOUND	1:1창 열릴때 소리로 알림
MSI_DO_YOU_REALLY_WANT_EXPEL	정말 제명시키시겠습니까?
MSI_USER_LEFT_GUILD	%s 님이 길드를 탈퇴했습니다.
MSI_REASON_LEAVE_GUILD	탈퇴사유 : %s
MSI_DISORGANIZE_GUILD_FAILURE	길드명이 일치하지 않습니다
MSI_DISORGANIZATION_REASON	길드해체사유 : %s
MSI_DELETED_ACCOUNT	해당 계정은 삭제된 아이디 입니다.
MSI_SELLPRICE	판매가 :
MSI_BAN_GUILD	%s 님이 길드에서 추방되었습니다.
MSI_REASON_BAN_GUILD	추방사유 : %s
MSI_CAN_NOT_EQUIP_ITEM	아이템을 착용할 수 없습니다.
MSI_PARTYSETTING_CHANGE_IMPOSSIBLE	파티설정을 변경할 수 없습니다.
MSI_GUILD_MAKE_SUCCESS	길드가 만들어 졌습니다.
MSI_GUILD_MAKE_ALREADY_MEMBER	이미 길드에 속해있습니다.
MSI_GUILD_MAKE_GUILD_EXIST	같은이름의 길드가 존재합니다.
MSI_SUGGEST_JOIN_GUILD	 길드에서 초청 메시지가 왔습니다. 가입하겠습니까?
MSI_CHARACTER_IS_ALREADY_IN_GUILD	다른길드에 가입되어 있습니다.
MSI_CHARACTER_REJECT_JOIN_GUILD	길드가입을 거절 했습니다.
MSI_CHARACTER_ACCEPT_JOIN_GUILD	길드가입을 수락했습니다.
MSI_TOO_MANY_PEOPLE_IN_GUILD	길드정원을 초과했습니다.
MSI_REQ_JOIN_GUILD	(%s)님 길드에 가입요청
MSI_NOT_ENOUGH_FOR_MANNER_POINT	스킬 레벨이 모자라서 매너포인트를 줄 수 없습니다.
MSI_GIVING_MANNER_POINT_SUCCESS	매너 포인트 주기 성공
MSI_YOU_USE_TODAY_ALREADY	오늘 이미 사용했습니다.
MSI_ONE_MONTH_NOT_PASSED	이캐릭터에게 지급한지 한달이 지나지 않았습니다.
MSI_RECEIVE_PLUS_MANNER_POINT	%s 님으로부터 플러스 매너 포인트를 받았습니다.
MSI_RECEIVE_MINUS_MANNER_POINT	%s 님으로부터 마이너스 매너 포인트를 받았습니다.
MSI_GIVE_PLUS_MANNER_POINT	채팅 금지 시간 줄이기(풀기)
MSI_GIVE_MINUS_MANNER_POINT	채팅 금지 시간 늘이기(걸기)
MSI_REQ_DEAL_WITH2	(%s)님과의 거래요청
MSI_REQ_JOIN_PARTY2	(%s)님 파티에 가입요청
MSI_SUGGEST_ALLY_GUILD	 길드에서 동맹요청 메시지가 왔습니다. 동맹하겠습니까?
MSI_REQALLYGUILD_ALREADY_ALLIED	이미 동맹되어 있습니다.
MSI_REQALLYGUILD_REJECT	동맹을 거절 했습니다.
MSI_REQALLYGUILD_ACCEPT	동맹을 수락 했습니다.
MSI_REQALLYGUILD_OVERSIZE	상대길드의 동맹길드의 수가 초과 되었습니다.
MSI_REQALLYMYGUILD_OVERSIZE	길드의 동맹길드의 수가 초과 되었습니다.
