﻿MSI_DO_YOU_AGREE	你同意?
MSI_CHARACTER_REJECT_JOIN	拒绝加入.
MSI_CHARACTER_ACCEPT_JOIN	已接受加入请求.
MSI_TOO_MANY_PEOPLE_IN_PARTY	队伍人数已达上限.
MSI_YOU_LEAVE_FROM_PARTY	你已离开队伍.
MSI_SEND_TO_ALL	发送给所有人
MSI_SEND_TO_PARTY	发送到队伍
MSI_REQ_DEAL_WITH	请求与之开展业务
MSI_REQ_JOIN_PARTY	请求加入你的队伍
MSI_ROOM_PRIVATE	私人的:
MSI_ROOM_PUBLIC	披露:
MSI_RESTART_MSG	按"重新启动"从最后一个检查点开始,或按"退出"返回角色选择.
MSI_SELECT_DEAL_TYPE	选择您想要的交易.
MSI_SUGGEST_DEAL	已请求交易.
MSI_SUGGEST_JOIN_PARTY	您收到队伍邀请.是否加入?
MSI_INVALID_COMMAND	命令不正确.
MSI_LEAVE_PARTY	退出队伍
MSI_EXPEL	驱逐
MSI_MSG	发送消息
MSI_1ON1	1:1对话
MSI_CHARACTER_INFO	信息
MSI_PARTY_SETTING	队伍设置
MSI_FRIEND	朋友
MSI_PARTY	队伍
MSI_EQUIPED_ITEM	装备物品
MSI_STATUS	地位
MSI_ITEM	拥有的物品
MSI_EXPLAIN_PARTY	/결성 [파티이름]:组建队伍 /탈퇴:离开队伍
MSI_EXPLAIN_TIP3	当你是队伍队长时,如果你右键单击你的角色,就会出现一个请求加入队伍的菜单.
MSI_RESTORE	恢复
MSI_ATTACK	攻击
MSI_SUPPORT	协助
MSI_ALL	全部的
MSI_WEAPON	武器
MSI_DEFENCE	防御
MSI_WATER	数字
MSI_EARTH	吉
MSI_FIRE	愤怒
MSI_WIND	风
MSI_EQUIPITEM_OLNY_ONE	您一次只能购买一件同类型的装备.
MSI_ONLY_16BIT_WHEN_WINDOWMODE	在窗口模式下运行时,设置为 16 位颜色.
MSI_PLEASE_BE_PATIENT	请稍等.
MSI_WAITING_RESPONSE_FROM_SERVER	请稍等.
MSI_MAKING_CHARACTER	请稍等.
MSI_DELETING_CHARACTER	请稍等.
MSI_MAKING_ROOM	创建一个房间
MSI_CHANGE_ROOM_SETTING	更改房间设置
MSI_BAN	踢出
MSI_GIVE_GIVE_ROOM_POWER	给予客房经理许可
MSI_SEE_INFORMATION_OF_CHARACTER	查看信息
MSI_CHAT_ROOM	聊天室
MSI_COUNT_UNIT_OF_PEOPLE	人数
MSI_EXPLAIN_SIT	/앉기 或 /sit:坐下.坐着时站着
MSI_EXPLAIN_STAND	/서기 或 /stand:公元.站着的时候坐着
MSI_EXPLAIN_MAKE_CHAT	/채팅방 或 /chat:打开聊天室创建窗口
MSI_EXPLAIN_EXIT_CHAT_ROOM	/q:离开聊天室.
MSI_EXPLAIN_DEAL	/거래 [캐릭터이름] 或 /교환 [캐릭터이름] 或 /deal [캐릭터이름]:请求与角色进行交易.
MSI_EXPLAIN_ORGANIZE_PARTY	/결성 [파티이름] 或 /organize [파티이름]:组建队伍
MSI_EXPLAIN_LEAVE_PARTY	/탈퇴 或 /leave:离开队伍
MSI_EXPLAIN_EXPEL_PARTY_MEMBER	/제명 [캐릭터이름] 或 /expel [캐릭터이름]:将角色从队伍中开除.
MSI_EXPLAIN_TIP4	[Alt] + [End]:玩家 hp/sp 计量表 开 关
MSI_EXPLAIN_TIP5	[Alt] + [Home]:地面光标显示 开 关
MSI_EXPLAIN_TIP6	[Insert] :坐 站
MSI_YOU_RECEIVE_MVP_ITEM	你已经成为MVP了!! MVP 项目是
MSI_YOU_RECEIVE_MVP_ITEM2	 !!
MSI_YOU_RECEIVE_MVP_EXP	你已经成为MVP了!!特殊经历
MSI_YOU_RECEIVE_MVP_EXP2	获得!!
MSI_YOU_THROW_MVPITEM	你成为了 MVP,但由于体重过重,你无法获得 MVP 物品!
MSI_NOT_EXIST_CHARACTER	这是一个不存在的角色名称.
MSI_NO_RECEIVE_MODE	您处于选择退出的状态.
MSI_NO_RECEIVE_MODE_FOR_ALL	所有角色均处于选择退出状态.
MSI_SUCCESS_DISCONNECT_CHARACTER	成功断开角色.
MSI_FAIL_DISCONNECT_CHARACTER	无法断开角色连接.
MSI_GET_ITEM	获取 %s %d
MSI_EXPLAIN_TIP7	[Alt] + [=]:当字母间距变宽时恢复.
MSI_EXPLAIN_TIP8	[F10]:调整聊天窗口大小 [Alt] + [F10]:聊天窗口 开 关
MSI_EXPLAIN_TIP9	如何窃窃私语:在聊天窗口的左侧字段中输入角色的名字,并在右侧字段中输入单词.您可以使用 TAB 键在两个输入字段之间移动光标.
MSI_EXPLAIN_TIP10	/! /? /기쁨 /하트 /땀 /아하 /짜증 /화 /돈 /... /가위 /바위 /보 :对应 Alt + (1~9) Ctrl + (-=\\) 的命令.
MSI_EXPLAIN_TIP11	如何向队员讲话:如果在单词开头添加"%",则会向队员讲话. (例如:\"%Hello\")
MSI_NOT_ENOUGH_SKILLLEVE1	技能水平不够.不可交换.
MSI_NOT_ENOUGH_SKILLLEVE2	技能水平不够.感情是不可能的.
MSI_NOT_ENOUGH_SKILLLEVE3	技能水平不够.无法坐下.
MSI_NOT_ENOUGH_SKILLLEVE4	技能水平不够.无法创建聊天室.
MSI_NOT_ENOUGH_SKILLLEVE5	技能水平不够.无法创建队伍
MSI_NOT_ENOUGH_SKILLLEVE6	技能水平不够.无力喊叫
MSI_NOT_ENOUGH_SKILLLEVE7	技能水平不够. PK禁用
MSI_ITEMS_FOR_BUY	您想购买的商品
MSI_ITEM_STORE	物品店
MSI_ITEMS_FOR_SELL	您想要出售的物品
MSI_ITEMS_THAT_IS_STORED	收纳物品
MSI_ITEM_IS_EQUIPED	设备已安装完毕.
MSI_ITEM_IS_REMOVED	装备已经放出.
MSI_ADD_TO_WHISPER_CHAR_LIST	将姓名添加到耳语列表
MSI_EXPLAIN_TIP12	如何截取屏幕截图:按 [Print Screen] 键或 [Scroll Lock] 键.
MSI_TIPOFTHEDAY	当日提示
MSI_DIDYOUKNOW	^3850a0你知道吗... ^000000 //^709fed
MSI_SHOWTIPSATSTARTUP	启动时打开
MSI_EXPLAIN_OPENTIP	/tip :打开今天的提示
MSI_NUMPEOPLE	当前连接的用户:%d
MSI_USERGETINTHEROOM	(%s) 已进入.
MSI_USERGETOUTOFTHEROOM	(%s) 已离开.
MSI_USERGETOUTOFTHEROOMBYFORCE	(%s) 被迫离开.
MSI_EA	%d 狗
MSI_EA2	%s : %d 件
MSI_EA3	%s %s : %d 件
MSI_ITEMSYOUCANSELL	可出售的物品
MSI_SHOPITEMS	商店出售的物品
MSI_NOWHERE	未知的地方
MSI_CLIENTTYPEMISMATCH	服务器和语言不匹配.
MSI_CLOSEEQUIPWND	要丢弃物品,请关闭设备窗口.
MSI_ENGLISHONLY	仅提供英语服务.
MSI_NOTSUPPORTEDYET	目前不支持.
MSI_NOWHISPERLIST	没有耳语名单.
MSI_WHISPERIGNORESUCCESS	它处于一种拒绝听到消息的状态
MSI_WHISPERIGNOREFAILED1	请求拒绝耳语失败
MSI_WHISPERIGNOREFAILED2	未能请求拒绝听取(人数超出)
MSI_WHISPERNOIGNORESUCCESS	你现在可以低声对
MSI_WHISPERNOIGNOREFAILED1	请求悄悄话失败
MSI_WHISPERNOIGNOREFAILED2	请求密语失败(人数超出)
MSI_NO_SPACE_IN_NAME	名称的开头或结尾不能使用空格字符.
MSI_ROOM_PRIVATE2	私人的
MSI_ROOM_PUBLIC2	发布
MSI_USESKILL_FAIL_SP_INSUFFICIENT	SP不足.
MSI_USESKILL_FAIL_HP_INSUFFICIENT	我的HP很低.
MSI_NOT_ENOUGH_SKILLLEVE8	技能使用失败.
MSI_FAIL_STEAL	偷窃失败.
MSI_EXCHANGE	交换窗口
MSI_FAIL_POISON	悬挂失败.
MSI_ID_MISMATCH	您无法使用该 ID 访问该服务器.
MSI_SPEEDUP	速度有所提高.
MSI_SPEEDDOWN	速度已降低.
MSI_EXPLAIN_TIP13	/기억:记住扭曲的位置(如果你有扭曲技能)
MSI_RANDOM_POS	随机位置
MSI_SELECTWHERETOWARP	选择要扭曲到的位置.
MSI_NOTENOUGHSKILLLEVEL	技能水平不够.
MSI_NO_STORED_PLACE_TO_WARP	没有已保存的可以传送到的地方.
MSI_NOWARPSKILL	没有与扭曲相关的技能.
MSI_WARPPOINTSTORED	保存为扭曲位置.
MSI_CANCEL	消除
MSI_SKILLINTERVAL	自从使用技能以来,还没有过去足够的时间.
MSI_CANT_GET_ITEM_BECAUSE_COUNT	您拥有的物品数量不能多于您一次可以拥有的物品类型数量.
MSI_INSUFFICIENT_OVER_COUNT	已超出项目类型的最大数量.
MSI_MERCHANTITEM	萨里项目
MSI_CARTOFF	取下推车
MSI_MERCHANTSHOPMAKER	摊位开业
MSI_ENTER_SHOP_TITLE	请输入摊位名称.
MSI_ITEM_MY_STORE	我的摊位
MSI_ITEM_MERCHANT_STORE	商品商店
MSI_ITEMS_FOR_BUY_FROM_MERCHANT	您想从商家处购买的商品
MSI_FAIL_BUY_ITEM_FROM_MERCHANT	%s 购买失败 %s
MSI_INSUFFICIENT_STOCK	缺货.
MSI_ITEM_IS_SOLD	%s %d 已售出.
MSI_MERCHANTMIRRORITEM	可以在路边摊出售的物品
MSI_SKILL_FAIL_MONEY	我无法使用该技能,因为我没有足够的Zeny.
MSI_SELECTTARGET	选择要使用的内容
MSI_EXPLAIN_TIP14	/pk on : pk On /pk off : pk Off
MSI_STREETSHOP	露点
MSI_OPENCARTWINDOW	购物车商品 [Alt+W]
MSI_BASICINFOWND	基本信息
MSI_USESKILL_FAIL_NOT_SUITABLE_WEAPON	该技能无法与当前武器一起使用.
MSI_FAIL_BUY_ITEM_FROM_MERCHANT_NO_STOCK	%s 欺诈失败 缺货 当前库存为 %d 件.
MSI_SPEEDHACK	由于与服务器不同步,连接丢失.
MSI_ERR_ATTACK_ARROW	装备你的箭
MSI_ERR_ATTACK_WEIGHT	由于体重过重,您无法使用攻击或技能.
MSI_ERR_SKILL_WEIGHT	由于重量过大而无法使用该技能.
MSI_MSG_ARROW_EQUIPMENT_SUCCESS	箭头已加载.
MSI_NEED_REDJAMSTONE	你需要一颗红色宝石.
MSI_NEED_BLUEJAMSTONE	你需要一块蓝色宝石.
MSI_DESC_STR	力参数
MSI_DESC_AGI	敏捷参数
MSI_DESC_VIT	健身参数
MSI_DESC_INT	情报参数
MSI_DESC_DEX	灵巧参数
MSI_DESC_LUK	运气参数
MSI_DESC_ATK	攻击力
MSI_DESC_DEF	防御
MSI_DESC_HIT	准确性
MSI_DESC_CRI	特攻率
MSI_DESC_GUILD	所属公会
MSI_DESC_POINT	用于升级每个参数的点数
MSI_DESC_MATK	魔法攻击力
MSI_DESC_MDEF	魔法防御
MSI_DESC_FLEE	回避率
MSI_DESC_ASPD	攻击速度
MSI_PC_OVERFLOW	如果超出每个区域的容量,则不允许访问.
MSI_OPTIONWND	选项
MSI_ID_EMAIL_CONFIRM_NEEDED	电子邮件尚未验证或帐户已被封锁.
MSI_INCORRECT_LOGIN_PASSWORD	密码不正确.
MSI_SELECT_HAIR_STYLE	选择你的发型
MSI_ATK	攻击力
MSI_DEF	防御
MSI_ATTACK_SNAP_ON	攻击卡扣
MSI_ATTACK_SNAP_OFF	进攻性抢断
MSI_SKILL_SNAP_ON	技能捕捉
MSI_SKILL_SNAP_OFF	技能快照
MSI_EXPLAIN_SNAP	/스냅 或 /snap: 攻击怪物时突然开启 /스킬스냅 或 /skillsnap: 攻击具有技能的怪物时突然开启 /아이템스냅 或 /itemsnap: 拾取物品时突然开启
MSI_ITEM_SNAP_ON	项目卡扣
MSI_ITEM_SNAP_OFF	物品折断
MSI_SNAP	折断
MSI_CANT_GET_ITEM_OVERCOUNT_ONEITEM	一件商品的数量不能超过 30,000.
MSI_CANT_DELETE_CHARACTER_OVER_30_LEVEL	30级以上的角色无法删除.如需删除,请联系相关人员.
MSI_FAIL_BUY_ITEM_ITEM_EXCHANGING	您不能在物品交换期间购买或出售物品.
MSI_STALL_NAME	店铺名称
MSI_SKILLLIST	技能列表
MSI_SKILLPOINT	技能点:%d
MSI_USESKILL_FAIL	技能使用失败
MSI_PASSIVE	被动的
MSI_EXPDIV1	获得每一个
MSI_EXPDIV2	分布均匀
MSI_ITEMCOLLECT1	获得每一个
MSI_ITEMCOLLECT2	与全队分享
MSI_PARTYSETTING	队伍设置
MSI_HOWEXPDIV	经验分配方式
MSI_HOWITEMCOLLECT	物品收集方法
MSI_ONLY_PARTYMASTER	只有队长可以设置这个.
MSI_NOQUESTION_ITEMCOUNT	不要询问物品数量
MSI_CHARARATER_DELETE_COUNT	您的角色将在 ^ff0000%d^000000 秒后被删除.要取消,请按取消按钮.
MSI_MAXEXCHANGE_IS_10_KIND	最多可兑换的物品数量为 10 件.
MSI_LIMIT_AGE	您年龄不符合使用此服务器的要求.
MSI_ENTER_EMAIL	请输入您的电子邮件地址.
MSI_ENTER_EMAIL_TOOLTIP	输入您的电子邮件地址
MSI_CANNOT_DELETE_CHARACTER_EMAIL	由于电子邮件地址不正确,该角色未被删除.
MSI_ENTER_PEOPLE_REG_NUMBER	请输入您的账户密码.
MSI_CANNOT_DELETE_CHARACTER_PEOPLE_REG_NUMBER	由于密码不正确,该字符未被删除.
MSI_CANT_SELL_OVER_15	您一次不能销售超过 15 件商品.
MSI_UNDER_AGE	由于年龄限制,您无法使用该帐户访问该服务器.
MSI_NO_RECOVER_OVERWEIGHT	当重量超过50%时,HP SP不会自然恢复.
MSI_NO_ATTACK_OVERWEIGHT	重量超过90%时,无法使用攻击和技能.
MSI_NO_RECOVER_OVERWEIGHT_RELEASED	HP SP已达到可以自然恢复的状态.
MSI_NO_ATTACK_OVERWEIGHT_RELEASED	现在可以进行攻击和技能.
MSI_INVALID_VERSION	服务器正在维护中.
MSI_ITEM_IS_SOLD_OUT	所有物品均已售出.
MSI_WRITE_CHAT_TO_FILE	将聊天记录保存为文件
MSI_EXPLAIN_SAVE_CHAT	/갈무리 或 /savechat:将聊天内容保存为文件.
MSI_MAKEACCOUNT	创建一个帐户
MSI_REQ_EX_LIST	退订
MSI_REQ_IN	取消订阅接收
MSI_MISS_EFFECT_ON	错过显示开启
MSI_MISS_EFFECT_OFF	错过显示关闭
MSI_FIXED_CAMERA_ON	相机锁定
MSI_FIXED_CAMERA_OFF	相机锁定关闭
MSI_EXPLAIN_CAMERA_MISS	/camera:将相机固定到播放器开关 /miss:错过效果开关
MSI_SEE_INFORMATION_OF_SKILL	查看技能信息
MSI_CHANGE_SKILL_NAME	更改技能名称
MSI_SPRITE_RESOLUTION	精灵分辨率
MSI_TEXTURE_RESOLUTION	纹理分辨率
MSI_DETAILLEVELWND	细节调整
MSI_GET_ZENY	%s 获取 Zeny
MSI_GUILDNAME	公会名称
MSI_GUILDLEVEL	公会等级
MSI_GUILD_MASTER_NAME	主人姓名
MSI_GUILD_NUM_MEMBER	工会会员人数
MSI_GUILD_AVG_MEMBER_LEVEL	工会会员平均水平
MSI_GUILD_MANAGE_LAND	管理领地
MSI_GUILD_FAIR	趋势
MSI_GUILD_EXP	经验
MSI_GUILD_EMBLEM	公会徽章
MSI_GUILD_POINT	公会奖励积分
MSI_ALLY_GUILD	联盟公会
MSI_HOSTILITY_GUILD	敌对行会
MSI_GUILDINFOMANAGE	公会信息
MSI_GUILDMEMBERMANAGE	联盟会员信息
MSI_GUILDPOSITIONMANAGE	位置设定
MSI_GUILDSKILL	公会技能
MSI_GUILDBANISHEDMEMBER	流亡者名单
MSI_GUILDNOTICE	公告
MSI_GUILDTOTALINFO	完整公会列表
MSI_WHISPERLISTWND	耳语清单
MSI_OPENWHISPERLISTWND	打开耳语窗
MSI_EXPLAIN_WHISPER_LIST_WND	如何打开密语列表窗口:按[Alt] + [H] 打开密语列表窗口.
MSI_AUTOOPENWHISPERLISTWND	自动打开耳语窗口
MSI_DELETE	清除
MSI_DONTOPEN	它不会再打开
MSI_LAST_LOGIN_TIME	最后登录时间
MSI_LAST_LOGIN_IP	最后连接的IP
MSI_FRIEND_SETTING	好友设置
MSI_DO_YOU_REALLY_WANT_DELETE	您确定要删除它吗?
MSI_DO_YOU_REALLY_WANT_LEAVE	您确定要退出吗?
MSI_ADD_TO_FRIEND_CHAR_LIST	注册为好友
MSI_AUTOOPENWHISPERLISTWND_FRIEND	好友时自动打开1:1窗口
MSI_OPEN_1ON1_WINDOW	打开1:1窗口
MSI_AUTOOPEN_1ON1_WINDOW	非好友时自动打开1:1窗口
MSI_WHISPER_OPEN_SOUND	1:1 窗口打开时有声音通知
MSI_DO_YOU_REALLY_WANT_EXPEL	你真的想驱逐我吗?
MSI_USER_LEFT_GUILD	%s 已离开公会.
MSI_REASON_LEAVE_GUILD	撤回原因:%s
MSI_DISORGANIZE_GUILD_FAILURE	公会名称不符
MSI_DISORGANIZATION_REASON	公会解散原因:%s
MSI_DELETED_ACCOUNT	该帐户已被删除.
MSI_SELLPRICE	售价:
MSI_BAN_GUILD	%s 已被逐出公会.
MSI_REASON_BAN_GUILD	开除原因:%s
MSI_CAN_NOT_EQUIP_ITEM	该物品无法佩戴.
MSI_PARTYSETTING_CHANGE_IMPOSSIBLE	队伍设置无法更改.
MSI_GUILD_MAKE_SUCCESS	一个公会已经创建.
MSI_GUILD_MAKE_ALREADY_MEMBER	我已经属于一个公会了.
MSI_GUILD_MAKE_GUILD_EXIST	有一个同名的公会.
MSI_SUGGEST_JOIN_GUILD	一封来自公会的邀请消息已经传来.您想加入吗?
MSI_CHARACTER_IS_ALREADY_IN_GUILD	我是另一个公会的成员.
MSI_CHARACTER_REJECT_JOIN_GUILD	我拒绝加入公会.
MSI_CHARACTER_ACCEPT_JOIN_GUILD	我已经接受你的公会会员资格.
MSI_TOO_MANY_PEOPLE_IN_GUILD	已超出公会容量.
MSI_REQ_JOIN_GUILD	请求加入 (%s) 公会
MSI_NOT_ENOUGH_FOR_MANNER_POINT	由于技能等级不足,无法给予礼仪分.
MSI_GIVING_MANNER_POINT_SUCCESS	给予成功的方式点
MSI_YOU_USE_TODAY_ALREADY	我今天已经用过了.
MSI_ONE_MONTH_NOT_PASSED	距离我为这个角色付费还不到一个月的时间.
MSI_RECEIVE_PLUS_MANNER_POINT	我从 %s 收到了额外的礼貌积分.
MSI_RECEIVE_MINUS_MANNER_POINT	我收到了来自 %s 的负面礼貌分数.
MSI_GIVE_PLUS_MANNER_POINT	减少聊天禁止时间(放松)
MSI_GIVE_MINUS_MANNER_POINT	延长聊天禁止时间(拨号器)
MSI_REQ_DEAL_WITH2	请求与 (%s) 进行交易
MSI_REQ_JOIN_PARTY2	请求加入 (%s) 的队伍
MSI_SUGGEST_ALLY_GUILD	公会发出了联盟请求消息.你愿意结盟吗?
MSI_REQALLYGUILD_ALREADY_ALLIED	我们已经结盟了.
MSI_REQALLYGUILD_REJECT	联盟被拒绝.
MSI_REQALLYGUILD_ACCEPT	联盟已被接受.
MSI_REQALLYGUILD_OVERSIZE	敌方公会的同盟公会数量已超过.
MSI_REQALLYMYGUILD_OVERSIZE	公会联盟数量已超.
MSI_REQ_ALLY_GUILD	公会联盟请求
MSI_DISORGANIZE_GUILD_SUCCESS	公会已成功解散.
MSI_DISORGANIZE_GUILD_INVALIDKEY	由于户口号码错误,公会并未解散.
MSI_DISORGANIZE_GUILD_MEMBEREXIST	公会并没有解散,因为还有公会成员.
MSI_REQ_HOSTILE_GUILD	请求公会敌意
MSI_SELECT_HAIR_COLOR	选择头发颜色
MSI_GUILD_MAKE_GUILD_NONE_ITEM	组建公会不需要任何物品.
MSI_MONSTER_INFO_WINDOW	怪物信息
MSI_NAME	姓名
MSI_LEVEL	等级
MSI_HP	HP
MSI_SIZE	尺寸
MSI_RACETYPE	部落
MSI_MDEFPOWER	MDEF
MSI_PROPERTY	属性
MSI_PROPERTY_NEUTURAL	無
MSI_PROPERTY_WATER	水
MSI_PROPERTY_EARTH	地
MSI_PROPERTY_FIRE	火
MSI_PROPERTY_WIND	風
MSI_PROPERTY_POISON	毒
MSI_PROPERTY_SAINT	聖
MSI_PROPERTY_DARK	暗
MSI_PROPERTY_MENTAL	念
MSI_PROPERTY_UNDEAD	死
MSI_CANT_MAKE_ITEM	目前你无法制作物品.
MSI_MAKE_LIST	制造清单
MSI_MAKE_TARGET	制作
MSI_REQUIRE_FOR_MAKE_TARGET	所需材料:
MSI_MAKE_TARGET_FAIL	创建失败
MSI_MAKE_TARGET_SUCCEESS	创造成功
MSI_MAKE_TARGET_FAIL_MSG	无法创建 %s.
MSI_MAKE_TARGET_SUCCEESS_MSG	%s 创建成功.
MSI_NOT_ENOUGH_LEVEL	等级不够.
MSI_TOO_HIGH_LEVEL	水平太高了.
MSI_NOT_ACCEPTABLE_JOB	工作不适合.
MSI_TALKBOX_WINDOW	对讲机陷阱消息
MSI_TALKBOX_WINDOW_MSG	请输入您要录制的消息.
MSI_SEND_TO_GUILD	发送至公会
MSI_NOT_SETTLED	这不是付费帐户.您想进入支付页面吗?
MSI_ACCOUNT_BUSY	由于服务器繁忙,请稍后重试.
MSI_INFORMATION_REMAINED	过去的连接信息仍然存在.请大约 30 秒后重试.
MSI_BIRDOFF	释放猎鹰
MSI_CHIKENOFF	佩科佩科下来
MSI_SIZE_SMALL	小
MSI_SIZE_MIDDLE	中
MSI_SIZE_BIG	大
MSI_DOUBLE	双倍的
MSI_TRIPLE	三倍
MSI_QUADROPLE	四联
MSI_LOGIN_REFUSE_BLOCKED_UNTIL	%s 之前禁止登录.
MSI_MANUFACTURED_NORMAL_ITEM	的
MSI_MANUFACTURED_FIRE_ITEM	之火
MSI_MANUFACTURED_ICE_ITEM	冰的
MSI_MANUFACTURED_WIND_ITEM	风的
MSI_MANUFACTURED_EARTH_ITEM	地球的
MSI_ACCOUNT_ADDRESS	211.239.161.246
MSI_ACCOUNT_PORT	6900
MSI_REGISTRATION_WEB_URL	http://roz.gnjoy.com/
MSI_BAN_USER	%s 强制退出用户
MSI_ONE_STARPIECE	很强
MSI_TWO_STARPIECE	非常非常强
MSI_THREE_STARPIECE	很强
MSI_GUILD_KICK_REASON	公会开除原因
MSI_INCATTACKSPEED	攻击速度增加.
MSI_DECATTACKSPEED	攻击速度已降低.
MSI_INCWEAPONATTACK	武器伤害得到改善.
MSI_DECWEAPONATTACK	武器的攻击力降低了.
MSI_FASTPREDELAY	施法延迟已减少.
MSI_NORMALPREDELAY	施法延迟已恢复正常.
